File,Window_Sec,LZC
P001-1-trimmed.mat,2,0.1645295339141037
P001-1-trimmed.mat,4,0.19772821034109683
P001-1-trimmed.mat,10,0.155736064937089
P001-1-trimmed.mat,20,0.14599765322469724
P001-1-trimmed.mat,30,0.08835789016683972
P001-1-trimmed.mat,45,0.06985352755043171
P001-1-trimmed.mat,60,0.03838533535261563
P001-1-trimmed.mat,90,0.13471476845665312
P001-1-trimmed.mat,120,0.02070251506964679
P001-1-trimmed.mat,180,0.01963687532477735
P001-1-trimmed.mat,240,0.018872674880270605
P001-1-trimmed.mat,300,0.007965760234690556
P001-2-trimmed.mat,2,0.029914460711655218
P001-2-trimmed.mat,4,0.012965784284662087
P001-2-trimmed.mat,10,0.06072277761308516
P001-2-trimmed.mat,20,0.043952173091204666
P001-2-trimmed.mat,30,0.0322744389232169
P001-2-trimmed.mat,45,0.025966494534453672
P001-2-trimmed.mat,60,0.01223268928819619
P001-2-trimmed.mat,90,0.01028060867991737
P001-2-trimmed.mat,120,0.00834058161079295
P001-2-trimmed.mat,180,0.00861356411112949
P001-2-trimmed.mat,240,0.009239747076799152
P001-2-trimmed.mat,300,0.009469337467744596
P002-1-trimmed.mat,2,0.08675193606380013
P002-1-trimmed.mat,4,0.04538024499631731
P002-1-trimmed.mat,10,0.00571508495181978
P002-1-trimmed.mat,20,0.016052097998526922
P002-1-trimmed.mat,30,0.012698139904216485
P002-1-trimmed.mat,45,0.008594543965629033
P002-1-trimmed.mat,60,0.008295731816133049
P002-1-trimmed.mat,90,0.014063096779132254
P002-1-trimmed.mat,120,0.01645775478558252
P002-1-trimmed.mat,180,0.016765687287734185
P002-1-trimmed.mat,240,0.02650038097771331
P002-1-trimmed.mat,300,0.02728832722968291
P002-2-trimmed.mat,2,0.06282036749447595
P002-2-trimmed.mat,4,0.01782795339141037
P002-2-trimmed.mat,10,0.02428911104523406
P002-2-trimmed.mat,20,0.021784990140857965
P002-2-trimmed.mat,30,0.020105388181676103
P002-2-trimmed.mat,45,0.019200576944490393
P002-2-trimmed.mat,60,0.02109084360033826
P002-2-trimmed.mat,90,0.014354057402148783
P002-2-trimmed.mat,120,0.012883219809528397
P002-2-trimmed.mat,180,0.011125853643542257
P002-2-trimmed.mat,240,0.009239747076799152
P002-2-trimmed.mat,300,0.013532195097486367
P003-1-trimmed.mat,2,0.02094012249815865
P003-1-trimmed.mat,4,0.03565590678282074
P003-1-trimmed.mat,10,0.04429190837660329
P003-1-trimmed.mat,20,0.038601473758362356
P003-1-trimmed.mat,30,0.03174534976054121
P003-1-trimmed.mat,45,0.032549549486850377
P003-1-trimmed.mat,60,0.017575703000281884
P003-1-trimmed.mat,90,0.030259904793719056
P003-1-trimmed.mat,120,0.03164952843381254
P003-1-trimmed.mat,180,0.022251707287084515
P003-1-trimmed.mat,240,0.02748333279439407
P003-1-trimmed.mat,300,0.037333502786682245
